game_id,Result,Score
2019090805,L,16
2019091600,L,3
2019092206,L,14
2019100606,L,6
2019101310,W,24
2019102100,L,0
2019102705,L,15
2019110304,L,18
2019111005,W,34
2019111707,W,34
2019112406,W,34
2019120102,L,6
2019120807,W,22
2019121200,L,21
2019122209,W,16
2019122901,W,13
